Driver,Class,Pos,Class Pos,Laps,Pits,Avg Lap,Best Lap,Last Lap,In Pit
Pace Car,Class 11,0,0,0,4,,-1.0,-1.0,False
Greg,Class 2523,10,1,-1,31,108.374,-1.0,-1.0,False
Jadato,Class 2523,12,2,-1,32,108.897,-1.0,-1.0,False
Liokki,Class 2523,13,3,-1,32,108.183,-1.0,-1.0,False
Ameliance,Class 2523,14,4,-1,31,108.603,-1.0,-1.0,False
Venat,Class 2523,15,5,-1,29,109.45,-1.0,-1.0,False
Yshtola Rhul,Class 2523,16,6,-1,29,108.997,-1.0,-1.0,False
Sphene,Class 2523,17,7,-1,30,108.566,-1.0,-1.0,False
Gosetsu,Class 2523,18,8,-1,30,107.547,-1.0,-1.0,False
Hien,Class 2523,19,9,-1,32,108.91,-1.0,-1.0,False
Lamitt,Class 2523,20,10,-1,32,109.136,-1.0,-1.0,False
Estinein,Class 2523,26,11,-1,28,109.768,-1.0,-1.0,False
Elidibus,Class 2523,31,12,-1,27,107.195,-1.0,-1.0,False
Ryne,Class 2523,35,13,-1,31,108.597,-1.0,-1.0,False
Renda-Rae,Class 2523,36,14,-1,28,107.621,-1.0,-1.0,False
Enkidu,Class 2523,45,15,-1,23,107.625,-1.0,-1.0,False
Thancred Waters,Class 2523,46,16,-1,24,106.297,-1.0,-1.0,False
Gaia,Class 2523,47,17,-1,22,106.643,-1.0,-1.0,False
Graha,Class 2523,48,18,-1,7,106.464,-1.0,-1.0,False
Fourchenault,Class 2523,50,19,-1,4,104.82,-1.0,-1.0,False
Wuk Lamat,Class 2523,51,20,-1,5,105.334,-1.0,-1.0,False
Luna,GT3,21,1,-1,24,113.133,-1.0,-1.0,False
Bakool Ja Ja,GT3,22,2,-1,21,114.15,-1.0,-1.0,False
Hermes,GT3,23,3,-1,23,115.304,-1.0,-1.0,False
Papalymo,GT3,24,4,-1,21,114.524,-1.0,-1.0,False
Julyan Manderville,GT3,25,5,-1,20,115.147,-1.0,-1.0,False
Meteion,GT3,27,6,-1,22,115.997,-1.0,-1.0,False
Minfilia,GT3,29,7,-1,21,114.809,-1.0,-1.0,False
Tataru,GT3,37,8,-1,21,113.548,-1.0,-1.0,False
Cirina Mol,GT3,38,9,-1,18,114.001,-1.0,-1.0,False
Feo Ul,GT3,39,10,-1,19,113.104,-1.0,-1.0,False
Koana,GT3,40,11,-1,19,113.88,-1.0,-1.0,False
Yugiri,GT3,41,12,-1,19,112.622,-1.0,-1.0,False
Pele,GT3,42,13,-1,20,113.676,-1.0,-1.0,False
Branden,GT3,43,14,-1,19,114.076,-1.0,-1.0,False
Lyse,GT3,44,15,-1,19,115.175,-1.0,-1.0,False
Hoary Boulder,GT3,49,16,-1,5,111.406,-1.0,-1.0,False
Matoya,GT3,52,17,-1,2,111.375,-1.0,-1.0,False
Nyelbert,GT3,53,18,-1,2,111.876,-1.0,-1.0,False
Godbert Manderville,GT3,59,19,-1,1,112.675,-1.0,-1.0,False
Iryq,Hypercar,1,1,-1,26,107.295,-1.0,-1.0,False
Erenville,Hypercar,2,2,-1,25,107.539,-1.0,-1.0,False
Krile Maya Baldesion,Hypercar,3,3,-1,28,107.822,-1.0,-1.0,False
Livingway,Hypercar,4,4,-1,27,107.479,-1.0,-1.0,False
Alphinaud Leveilleur ,Hypercar,5,5,-1,26,108.425,-1.0,-1.0,False
Puddingway,Hypercar,6,6,-1,24,107.886,-1.0,-1.0,False
Nashu Mhakaracca,Hypercar,7,7,-1,25,107.965,-1.0,-1.0,False
Sadu Dotharl,Hypercar,8,8,-1,26,108.744,-1.0,-1.0,False
Hildibrand Manderville,Hypercar,9,9,-1,27,108.383,-1.0,-1.0,False
Gaius,Hypercar,11,10,-1,27,108.34,-1.0,-1.0,False
Magnai Oronir,Hypercar,28,11,-1,23,107.237,-1.0,-1.0,False
Cylva,Hypercar,30,12,-1,24,106.807,-1.0,-1.0,False
Urianger Augurelt,Hypercar,32,13,-1,19,107.853,-1.0,-1.0,False
Celestia Astraethi,Hypercar,33,14,-1,20,107.372,-1.0,-1.0,False
Alisaie  Leveilleur ,Hypercar,34,15,-1,22,106.895,-1.0,-1.0,False
Emet-Selch,Hypercar,54,16,-1,3,103.595,-1.0,-1.0,False
Hythlodaeus,Hypercar,55,17,-1,3,103.35,-1.0,-1.0,False
Moenbryda Wilfsunnwyn,Hypercar,56,18,-1,3,103.561,-1.0,-1.0,False
Zenos,Hypercar,57,19,-1,4,104.409,-1.0,-1.0,False
Ardbert,Hypercar,58,20,-1,1,103.736,-1.0,-1.0,False
Lily Bowling,Hypercar,60,21,-1,0,,-1.0,-1.0,False
